count 1521
0 normal 0.0000020241
0 portsweep 0.0000020192
1 back 0.0003288697
1 buffer_overflow 0.0000700000
1 ftp_write 0.0000000000
1 guess_passwd 0.0000490566
1 imap 0.0000000000
1 ipsweep 0.0025000000
1 land 0.0000000000
1 loadmodule 0.0000000000
1 multihop 0.0000000000
1 neptune 0.0001012117
1 nmap 0.0004415584
1 normal 0.0726994521
1 perl 0.0000000000
1 phf 0.0000000000
1 pod 0.0001837121
1 portsweep 0.0013791346
1 rootkit 0.0000000000
1 satan 0.0000161108
1 spy 0.0000000000
1 teardrop 0.0000183861
1 warezclient 0.0014597059
1 warezmaster 0.0000000000
10 back 0.0000020427
10 neptune 0.0000627513
10 normal 0.0048780711
10 pod 0.0000075758
10 satan 0.0000120831
10 smurf 0.0000080972
10 teardrop 0.0000183861
100 neptune 0.0005647615
100 normal 0.0000121446
100 smurf 0.0000040486
100 teardrop 0.0000061287
101 neptune 0.0016801149
101 normal 0.0000121446
101 teardrop 0.0000061287
102 neptune 0.0019351685
102 normal 0.0000080964
102 smurf 0.0000060729
102 teardrop 0.0000020429
103 neptune 0.0020930588
103 normal 0.0000040482
103 teardrop 0.0000020429
104 neptune 0.0018643203
104 normal 0.0000080964
104 satan 0.0000020138
104 teardrop 0.0000020429
105 neptune 0.0017570358
105 normal 0.0000080964
105 portsweep 0.0000020192
105 teardrop 0.0000020429
106 neptune 0.0016355818
106 normal 0.0000121446
106 smurf 0.0000020243
106 teardrop 0.0000020429
107 neptune 0.0017570358
107 normal 0.0000080964
107 portsweep 0.0000020192
107 smurf 0.0000040486
107 teardrop 0.0000020429
108 neptune 0.0019270716
108 normal 0.0000060723
108 portsweep 0.0000020192
108 smurf 0.0000040486
108 teardrop 0.0000020429
109 neptune 0.0016517756
109 normal 0.0000080964
109 satan 0.0000060415
109 teardrop 0.0000020429
11 back 0.0000204267
11 neptune 0.0000991875
11 normal 0.0044813483
11 pod 0.0000075758
11 satan 0.0000100692
11 teardrop 0.0000183861
110 neptune 0.0015100792
110 normal 0.0000101205
110 smurf 0.0000020243
110 teardrop 0.0000020429
111 neptune 0.0017044057
111 normal 0.0000101205
111 smurf 0.0000020243
111 teardrop 0.0000020429
112 neptune 0.0019979198
112 normal 0.0000101205
112 smurf 0.0000020243
112 teardrop 0.0000020429
113 neptune 0.0019169504
113 normal 0.0000040482
113 smurf 0.0000020243
113 teardrop 0.0000020429
114 neptune 0.0017286966
114 normal 0.0000080964
114 satan 0.0000040277
114 teardrop 0.0000020429
115 neptune 0.0017995448
115 normal 0.0000080964
115 portsweep 0.0000020192
115 teardrop 0.0000020429
116 neptune 0.0015748547
116 normal 0.0000121446
116 smurf 0.0000020243
116 teardrop 0.0000020429
117 neptune 0.0018622961
117 normal 0.0000060723
117 portsweep 0.0000020192
117 smurf 0.0000040486
117 teardrop 0.0000020429
118 neptune 0.0018076417
118 normal 0.0000060723
118 portsweep 0.0000020192
118 teardrop 0.0000020429
119 neptune 0.0015708062
119 normal 0.0000080964
119 satan 0.0000040277
119 teardrop 0.0000020429
12 back 0.0000081707
12 neptune 0.0000910906
12 normal 0.0039328183
12 pod 0.0000075758
12 satan 0.0000100692
12 smurf 0.0000060729
12 teardrop 0.0000183861
120 neptune 0.0016436787
120 normal 0.0000121446
120 satan 0.0000020138
120 smurf 0.0000020243
120 teardrop 0.0000020429
121 neptune 0.0017367935
121 normal 0.0000101205
121 satan 0.0000020138
121 smurf 0.0000040486
121 teardrop 0.0000020429
122 neptune 0.0019230231
122 normal 0.0000080964
122 teardrop 0.0000020429
123 neptune 0.0018886111
123 normal 0.0000040482
123 teardrop 0.0000020429
124 neptune 0.0018339568
124 normal 0.0000020241
124 satan 0.0000040277
124 smurf 0.0000020243
124 teardrop 0.0000020429
125 neptune 0.0016983330
125 normal 0.0000080964
125 portsweep 0.0000020192
125 teardrop 0.0000020429
126 neptune 0.0016861876
126 normal 0.0000060723
126 smurf 0.0000020243
126 teardrop 0.0000020429
127 neptune 0.0017610843
127 normal 0.0000060723
127 portsweep 0.0000020192
127 smurf 0.0000040486
127 teardrop 0.0000020429
128 neptune 0.0017145269
128 normal 0.0000080964
128 portsweep 0.0000020192
128 smurf 0.0000020243
128 teardrop 0.0000020429
129 neptune 0.0015728305
129 normal 0.0000080964
129 satan 0.0000040277
129 smurf 0.0000040486
129 teardrop 0.0000020429
13 back 0.0000020427
13 neptune 0.0001052602
13 normal 0.0035624088
13 pod 0.0000075758
13 satan 0.0000080554
13 smurf 0.0000040486
13 teardrop 0.0000183861
130 neptune 0.0015748547
130 normal 0.0000141687
130 satan 0.0000020138
130 teardrop 0.0000020429
131 neptune 0.0016801149
131 normal 0.0000101205
131 satan 0.0000020138
131 teardrop 0.0000020429
132 neptune 0.0019392170
132 normal 0.0000080964
132 teardrop 0.0000020429
133 neptune 0.0018582476
133 normal 0.0000060723
133 smurf 0.0000020243
133 teardrop 0.0000020429
134 neptune 0.0017205996
134 normal 0.0000020241
134 satan 0.0000040277
134 teardrop 0.0000020429
135 neptune 0.0017509631
135 normal 0.0000060723
135 portsweep 0.0000020192
135 smurf 0.0000020243
135 teardrop 0.0000020429
136 neptune 0.0016618968
136 normal 0.0000060723
136 teardrop 0.0000020429
137 neptune 0.0016740422
137 normal 0.0000060723
137 portsweep 0.0000020192
137 smurf 0.0000060729
137 teardrop 0.0000020429
138 neptune 0.0017793024
138 normal 0.0000060723
138 portsweep 0.0000020192
138 smurf 0.0000020243
138 teardrop 0.0000020429
139 neptune 0.0015606851
139 normal 0.0000080964
139 satan 0.0000040277
139 teardrop 0.0000020429
14 neptune 0.0000789452
14 normal 0.0033357100
14 pod 0.0000075758
14 satan 0.0000100692
14 smurf 0.0000020243
14 teardrop 0.0000183861
140 neptune 0.0016153394
140 normal 0.0000182169
140 satan 0.0000020138
140 teardrop 0.0000020429
141 neptune 0.0016112909
141 normal 0.0000080964
141 satan 0.0000020138
141 teardrop 0.0000020429
142 neptune 0.0018015690
142 normal 0.0000080964
142 smurf 0.0000020243
142 teardrop 0.0000020429
143 neptune 0.0017084542
143 normal 0.0000080964
143 teardrop 0.0000020429
144 neptune 0.0017428662
144 normal 0.0000020241
144 satan 0.0000040277
144 smurf 0.0000020243
144 teardrop 0.0000020429
145 neptune 0.0015768789
145 normal 0.0000040482
145 portsweep 0.0000020192
145 teardrop 0.0000020429
146 neptune 0.0014169644
146 normal 0.0000060723
146 teardrop 0.0000020429
147 neptune 0.0014776914
147 normal 0.0000080964
147 portsweep 0.0000020192
147 smurf 0.0000040486
147 teardrop 0.0000020429
148 neptune 0.0014695945
148 normal 0.0000060723
148 portsweep 0.0000020192
148 smurf 0.0000020243
148 teardrop 0.0000020429
149 neptune 0.0013481404
149 normal 0.0000080964
149 satan 0.0000040277
149 teardrop 0.0000020429
15 neptune 0.0000931148
15 normal 0.0028377824
15 pod 0.0000075758
15 portsweep 0.0000020192
15 satan 0.0000060415
15 smurf 0.0000020243
15 teardrop 0.0000183861
150 neptune 0.0009513904
150 normal 0.0000222651
150 satan 0.0000020138
150 smurf 0.0000020243
150 teardrop 0.0000020429
151 buffer_overflow 0.0000033333
151 neptune 0.0000809694
151 normal 0.0000101205
151 satan 0.0000020138
151 teardrop 0.0000020429
152 neptune 0.0000971633
152 normal 0.0000101205
152 smurf 0.0000040486
152 teardrop 0.0000020429
153 neptune 0.0000627513
153 normal 0.0000060723
153 smurf 0.0000040486
153 teardrop 0.0000020429
154 neptune 0.0001315753
154 normal 0.0000040482
154 satan 0.0000040277
154 smurf 0.0000020243
154 teardrop 0.0000020429
155 neptune 0.0001133572
155 normal 0.0000060723
155 portsweep 0.0000020192
155 teardrop 0.0000020429
156 neptune 0.0001012117
156 normal 0.0000060723
156 smurf 0.0000020243
156 teardrop 0.0000020429
157 neptune 0.0000931148
157 normal 0.0000121446
157 portsweep 0.0000020192
157 smurf 0.0000040486
157 teardrop 0.0000020429
158 neptune 0.0001416964
158 normal 0.0000040482
158 portsweep 0.0000020192
158 teardrop 0.0000020429
159 neptune 0.0000870421
159 normal 0.0000080964
159 satan 0.0000040277
159 teardrop 0.0000020429
16 neptune 0.0001093087
16 normal 0.0026414451
16 pod 0.0000075758
16 satan 0.0000100692
16 smurf 0.0000020243
16 teardrop 0.0000183861
160 neptune 0.0001012117
160 normal 0.0000182169
160 satan 0.0000020138
160 teardrop 0.0000020429
161 neptune 0.0000850179
161 normal 0.0000060723
161 satan 0.0000020138
161 smurf 0.0000040486
161 teardrop 0.0000020429
162 neptune 0.0000991875
162 smurf 0.0000020243
162 teardrop 0.0000020429
163 neptune 0.0001032360
163 normal 0.0000020241
163 smurf 0.0000020243
163 teardrop 0.0000020429
164 neptune 0.0001416964
164 normal 0.0000020241
164 smurf 0.0000040486
164 teardrop 0.0000020429
165 neptune 0.0001214541
165 normal 0.0000060723
165 portsweep 0.0000020192
165 teardrop 0.0000020429
166 neptune 0.0000890663
166 normal 0.0000060723
166 smurf 0.0000020243
166 teardrop 0.0000020429
167 neptune 0.0001315753
167 normal 0.0000040482
167 portsweep 0.0000020192
167 smurf 0.0000020243
167 teardrop 0.0000020429
168 neptune 0.0001538418
168 normal 0.0000080964
168 portsweep 0.0000020192
168 smurf 0.0000040486
168 teardrop 0.0000020429
169 neptune 0.0000991875
169 normal 0.0000040482
169 satan 0.0000040277
169 smurf 0.0000020243
169 teardrop 0.0000020429
17 neptune 0.0000748967
17 normal 0.0023540235
17 pod 0.0000075758
17 portsweep 0.0000020192
17 satan 0.0000140969
17 smurf 0.0000060729
17 teardrop 0.0000183861
170 neptune 0.0001133572
170 normal 0.0000141687
170 satan 0.0000020138
170 smurf 0.0000040486
170 teardrop 0.0000020429
171 neptune 0.0001072844
171 normal 0.0000020241
171 teardrop 0.0000020429
172 neptune 0.0001072844
172 smurf 0.0000040486
172 teardrop 0.0000020429
173 neptune 0.0000991875
173 normal 0.0000060723
173 smurf 0.0000020243
173 teardrop 0.0000020429
174 neptune 0.0001518176
174 normal 0.0000020241
174 smurf 0.0000020243
174 teardrop 0.0000020429
175 neptune 0.0001214541
175 normal 0.0000060723
175 portsweep 0.0000020192
175 smurf 0.0000020243
175 teardrop 0.0000020429
176 neptune 0.0001214541
176 normal 0.0000060723
176 teardrop 0.0000020429
177 neptune 0.0001457449
177 normal 0.0000040482
177 portsweep 0.0000020192
177 smurf 0.0000020243
177 teardrop 0.0000020429
178 neptune 0.0001720600
178 normal 0.0000080964
178 smurf 0.0000040486
178 teardrop 0.0000020429
179 neptune 0.0000991875
179 normal 0.0000060723
179 satan 0.0000040277
179 teardrop 0.0000020429
18 back 0.0000040853
18 neptune 0.0000870421
18 normal 0.0021435175
18 pod 0.0000075758
18 portsweep 0.0000020192
18 satan 0.0000060415
18 smurf 0.0000040486
18 teardrop 0.0000183861
180 neptune 0.0001315753
180 normal 0.0000121446
180 satan 0.0000020138
180 smurf 0.0000060729
180 teardrop 0.0000020429
181 neptune 0.0001335995
181 normal 0.0000040482
181 smurf 0.0000020243
181 teardrop 0.0000020429
182 neptune 0.0001214541
182 smurf 0.0000040486
182 teardrop 0.0000020429
183 neptune 0.0001578903
183 normal 0.0000060723
183 smurf 0.0000020243
183 teardrop 0.0000020429
184 neptune 0.0001761084
184 smurf 0.0000040486
184 teardrop 0.0000020429
185 neptune 0.0001659873
185 normal 0.0000060723
185 portsweep 0.0000020192
185 teardrop 0.0000020429
186 neptune 0.0001477691
186 normal 0.0000040482
186 smurf 0.0000040486
186 teardrop 0.0000020429
187 neptune 0.0001821811
187 normal 0.0000040482
187 portsweep 0.0000020192
187 smurf 0.0000040486
187 teardrop 0.0000020429
188 neptune 0.0002692232
188 normal 0.0000060723
188 teardrop 0.0000020429
189 neptune 0.0002267143
189 normal 0.0000060723
189 satan 0.0000040277
189 smurf 0.0000020243
189 teardrop 0.0000020429
19 back 0.0000040853
19 neptune 0.0000971633
19 normal 0.0019228911
19 pod 0.0000075758
19 satan 0.0000140969
19 smurf 0.0000020243
19 teardrop 0.0000183861
190 neptune 0.0001943265
190 normal 0.0000101205
190 satan 0.0000020138
190 teardrop 0.0000020429
191 neptune 0.0002003993
191 normal 0.0000060723
191 smurf 0.0000020243
191 teardrop 0.0000020429
192 neptune 0.0002489809
192 normal 0.0000020241
192 smurf 0.0000020243
192 teardrop 0.0000020429
193 neptune 0.0002186174
193 normal 0.0000040482
193 smurf 0.0000020243
193 teardrop 0.0000020429
194 neptune 0.0002793444
194 teardrop 0.0000020429
195 neptune 0.0002611263
195 normal 0.0000060723
195 portsweep 0.0000020192
195 smurf 0.0000020243
195 teardrop 0.0000020429
196 neptune 0.0002489809
196 normal 0.0000060723
196 smurf 0.0000060729
196 teardrop 0.0000020429
197 neptune 0.0003076837
197 normal 0.0000040482
197 portsweep 0.0000020192
197 smurf 0.0000020243
197 teardrop 0.0000020429
198 neptune 0.0003886531
198 normal 0.0000060723
198 smurf 0.0000020243
198 teardrop 0.0000020429
199 neptune 0.0003704350
199 normal 0.0000080964
199 satan 0.0000040277
199 teardrop 0.0000020429
2 back 0.0011929187
2 buffer_overflow 0.0000100000
2 guess_passwd 0.0000490566
2 imap 0.0000000000
2 loadmodule 0.0000000000
2 neptune 0.0000890663
2 nmap 0.0000519481
2 normal 0.0199515132
2 pod 0.0001799242
2 portsweep 0.0005209615
2 rootkit 0.0000000000
2 satan 0.0000060415
2 smurf 0.0000020243
2 teardrop 0.0000183861
2 warezclient 0.0006382353
2 warezmaster 0.0000000000
20 neptune 0.0000627513
20 normal 0.0016678550
20 pod 0.0000075758
20 satan 0.0000100692
20 smurf 0.0000020243
20 teardrop 0.0000163432
200 neptune 0.0005222526
200 normal 0.0000101205
200 satan 0.0000020138
200 smurf 0.0000040486
200 teardrop 0.0000020429
201 neptune 0.0011315473
201 normal 0.0000040482
201 smurf 0.0000020243
202 neptune 0.0014554249
202 normal 0.0000040482
203 neptune 0.0010910626
203 normal 0.0000060723
203 smurf 0.0000040486
204 neptune 0.0015323458
204 normal 0.0000020241
204 smurf 0.0000040486
205 neptune 0.0009513904
205 normal 0.0000060723
205 portsweep 0.0000020192
205 smurf 0.0000060729
206 neptune 0.0015465154
206 normal 0.0000060723
206 smurf 0.0000020243
207 neptune 0.0009777054
207 normal 0.0000040482
207 portsweep 0.0000020192
207 smurf 0.0000040486
208 neptune 0.0013137284
208 normal 0.0000040482
209 neptune 0.0009999720
209 normal 0.0000060723
209 satan 0.0000040277
209 smurf 0.0000020243
21 neptune 0.0000789452
21 normal 0.0015200960
21 satan 0.0000040277
21 teardrop 0.0000183861
210 neptune 0.0015202004
210 normal 0.0000080964
210 portsweep 0.0000020192
210 satan 0.0000020138
210 smurf 0.0000020243
211 neptune 0.0010222386
211 normal 0.0000040482
211 smurf 0.0000020243
212 neptune 0.0014432794
212 normal 0.0000040482
212 smurf 0.0000020243
213 neptune 0.0010566506
213 normal 0.0000060723
213 smurf 0.0000020243
214 neptune 0.0014797157
214 normal 0.0000040482
214 smurf 0.0000020243
215 neptune 0.0011052322
215 normal 0.0000040482
215 portsweep 0.0000020192
215 smurf 0.0000040486
216 neptune 0.0014837641
216 normal 0.0000040482
216 smurf 0.0000020243
217 neptune 0.0008643483
217 normal 0.0000020241
217 portsweep 0.0000020192
217 smurf 0.0000040486
218 neptune 0.0013015830
218 normal 0.0000020241
219 neptune 0.0010019963
219 normal 0.0000080964
219 satan 0.0000040277
219 smurf 0.0000040486
22 neptune 0.0000910906
22 normal 0.0012650599
22 satan 0.0000140969
22 smurf 0.0000020243
22 teardrop 0.0000183861
220 neptune 0.0014270856
220 normal 0.0000080964
220 portsweep 0.0000020192
220 satan 0.0000020138
220 smurf 0.0000020243
221 neptune 0.0010262871
221 normal 0.0000020241
222 neptune 0.0015161519
222 normal 0.0000040482
222 smurf 0.0000040486
223 neptune 0.0010424809
223 normal 0.0000060723
223 smurf 0.0000020243
224 neptune 0.0015829517
224 normal 0.0000060723
225 neptune 0.0010100932
225 normal 0.0000020241
225 portsweep 0.0000020192
225 smurf 0.0000101214
226 neptune 0.0013724312
226 normal 0.0000040482
227 neptune 0.0009453177
227 normal 0.0000020241
227 portsweep 0.0000020192
227 smurf 0.0000020243
228 neptune 0.0013218254
228 normal 0.0000040482
228 smurf 0.0000020243
229 neptune 0.0010242628
229 normal 0.0000040482
229 satan 0.0000040277
229 smurf 0.0000020243
23 neptune 0.0001133572
23 normal 0.0011638551
23 satan 0.0000080554
23 smurf 0.0000040486
23 teardrop 0.0000183861
230 neptune 0.0013683828
230 normal 0.0000080964
230 portsweep 0.0000020192
230 satan 0.0000020138
231 neptune 0.0010404567
231 normal 0.0000020241
231 smurf 0.0000020243
232 neptune 0.0013946978
232 normal 0.0000040482
232 smurf 0.0000020243
233 neptune 0.0011254746
233 normal 0.0000060723
233 smurf 0.0000040486
234 neptune 0.0015161519
234 normal 0.0000060723
234 smurf 0.0000040486
235 neptune 0.0009797297
235 normal 0.0000020241
235 portsweep 0.0000020192
235 smurf 0.0000020243
236 neptune 0.0013967220
236 normal 0.0000040482
236 smurf 0.0000040486
237 neptune 0.0009513904
237 normal 0.0000040482
237 smurf 0.0000060729
238 neptune 0.0012955103
238 normal 0.0000020241
238 smurf 0.0000040486
239 neptune 0.0009190026
239 normal 0.0000020241
239 satan 0.0000040277
239 smurf 0.0000020243
24 neptune 0.0000688240
24 normal 0.0011577828
24 satan 0.0000120831
24 smurf 0.0000040486
24 teardrop 0.0000183861
240 neptune 0.0014169644
240 normal 0.0000060723
240 portsweep 0.0000020192
240 satan 0.0000020138
240 smurf 0.0000020243
241 neptune 0.0009979478
241 normal 0.0000020241
241 smurf 0.0000020243
242 neptune 0.0014270856
242 normal 0.0000020241
242 smurf 0.0000020243
243 neptune 0.0010930868
243 normal 0.0000101205
243 smurf 0.0000040486
244 neptune 0.0014878126
244 normal 0.0000060723
244 smurf 0.0000040486
245 neptune 0.0009028087
245 portsweep 0.0000020192
246 neptune 0.0014210129
246 normal 0.0000020241
246 smurf 0.0000020243
247 neptune 0.0008845906
247 smurf 0.0000020243
248 neptune 0.0012550256
248 normal 0.0000020241
248 smurf 0.0000040486
249 neptune 0.0008683968
249 satan 0.0000040277
249 smurf 0.0000020243
25 neptune 0.0000971633
25 normal 0.0010120479
25 portsweep 0.0000020192
25 satan 0.0000060415
25 teardrop 0.0000183861
250 neptune 0.0013967220
250 normal 0.0000020241
250 portsweep 0.0000020192
250 satan 0.0000020138
250 smurf 0.0000060729
251 neptune 0.0010445052
251 normal 0.0000020241
251 smurf 0.0000020243
252 neptune 0.0015121034
252 normal 0.0000020241
252 smurf 0.0000020243
253 neptune 0.0010242628
253 normal 0.0000121446
253 smurf 0.0000020243
254 neptune 0.0013744555
254 normal 0.0000060723
254 smurf 0.0000020243
255 neptune 0.0009777054
255 normal 0.0000020241
255 portsweep 0.0000020192
256 neptune 0.0013359950
256 normal 0.0000020241
256 smurf 0.0000020243
257 neptune 0.0009068572
257 normal 0.0000020241
257 smurf 0.0000020243
258 neptune 0.0012226378
258 smurf 0.0000020243
259 neptune 0.0008866149
259 satan 0.0000040277
26 neptune 0.0001012117
26 normal 0.0008602408
26 satan 0.0000120831
26 smurf 0.0000020243
26 teardrop 0.0000183861
260 neptune 0.0013623101
260 normal 0.0000020241
